#,# de flotte SPC // SSC Fleet #,Marque // Make,Modèle // Model,Année // Year,Couleur // Color,Couleur PCIM // FIP COLOUR,Coût // Cost,Taxes sur les pneus // Tire levy,Taxes,Prix total calculé // Total purchase price,Lecture actuelle du compteur // Current Odometer Reading,Numéro du modèle // Model number,Litres du moteur // Litres of engine,Ville // City,Province
99,400019,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",1088,Y6BG19,2.5 / 170,Winnipeg,MB
100,400020,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",1400,Y6BG19,2.5 / 170,Shilo,MB
101,500013,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",2725,Y6BG19,2.5 / 170,Victoria,BC
102,500014,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",1455,Y6BG19,2.5 / 170,Vancouver,BC
103,500015,Nissan,Rogue ,2019,Gris foncé/Dark Gray,Blanc/White,"$24,326.00",$15.00,"$1,217.05","$25,558.05",1277,Y6BG19,2.5 / 170,Lazo,BC
104,300030,Ford,Explorer Hybrid,2020,Magnetic Grey,n/a,"$48,807.00",$16.50,"$6,347.06","$55,170.56",,K8F 310A,3.3/TBD,Ottawa,ON
105,300031,Chevrolet,Silverado,2020,Silver,Black,"$33,965.00",$0.00,"$4,415.45","$38,380.45",,CC10903,4.3 / 285,Ottawa,ON
106,300032,Ford,Transit Connect,2020,Silver,Black,"$27,766.00",$0.00,"$3,609.58","$31,375.58",,S7S 100A,2.0 / 169,Toronto,ON
107,300033,Ford,Transit Connect,2020,Silver,Black,"$27,766.00",$0.00,"$3,609.58","$31,375.58",,S7S 100A,2.0 / 169,Borden,ON
108,300034,Nissan ,Rogue,2020,Dark Gray,White,"$25,754.00",$0.00,"$3,348.02","$29,102.02",,Y6BG10/SE00,2.5 / 170,Petawawa,ON
109,300035,Subaru,Forester,2020,Silver,Black,"$26,123.00",$0.00,"$3,395.99","$29,518.99",,LJ2 25,2.5 / 182,London,ON
110,300036,Subaru,Forester,2020,Silver,Black,"$26,123.00",$0.00,"$3,395.99","$29,518.99",,LJ2 25,2.5 / 182,North Bay,ON
111,300037,Subaru,Forester,2020,Silver,Black,"$26,123.00",$0.00,"$3,395.99","$29,518.99",,LJ2 25,2.5 / 182,Stoney Creek,ON
112,400024,GMC,Acadia,2020,Silver,Black,"$30,496.00",$18.75,"$1,525.74","$32,040.49",,TNB26 (3SA),3.6 / 310,Winnipeg,MB
